scenario,agent,run,turns,prompt_tokens,completion_tokens,total_tokens,router_tokens,customer_tokens,latency_ms_total,end_reason,escalated,ts
ST-01,agent_a,1,8,71727,539,72266,0,7197,11822.6,satisfied,True,2026-07-05T17:03:04
ST-01,agent_b,1,13,67488,1164,68652,12624,13580,23835.2,satisfied,True,2026-07-05T17:03:35
ST-01,agent_c,1,3,9233,209,9442,0,2129,5498.0,satisfied,False,2026-07-05T17:03:44
ST-02,agent_a,1,2,23105,216,23321,0,1247,3220.6,satisfied,False,2026-07-05T17:03:51
ST-02,agent_b,1,8,39201,564,39765,7711,6320,14372.9,satisfied,True,2026-07-05T17:04:10
ST-02,agent_c,1,9,26590,473,27063,0,7268,16272.8,satisfied,False,2026-07-05T17:04:31
ST-03,agent_a,1,10,120412,856,121268,0,9616,17996.5,satisfied,True,2026-07-05T17:04:57
ST-03,agent_b,1,19,124018,1849,125867,18932,26390,39236.1,satisfied,True,2026-07-05T17:05:47
ST-03,agent_c,1,7,38986,642,39628,0,5834,18675.4,satisfied,True,2026-07-05T17:06:11
ST-04,agent_a,1,10,88651,675,89326,0,8175,11931.2,frustrated,False,2026-07-05T17:06:34
ST-04,agent_b,1,5,29642,458,30100,4883,3330,9931.1,frustrated,True,2026-07-05T17:06:47
ST-04,agent_c,1,12,46932,837,47769,0,10301,20372.3,frustrated,False,2026-07-05T17:07:14
ST-05,agent_a,1,10,98130,1082,99212,0,11396,15297.2,satisfied,True,2026-07-05T17:07:35
ST-05,agent_b,1,11,64834,874,65708,10590,9553,20680.4,satisfied,True,2026-07-05T17:08:02
ST-05,agent_c,1,7,45204,591,45795,0,5383,18961.1,frustrated,True,2026-07-05T17:08:24
ST-06,agent_a,1,9,83821,746,84567,0,8599,10905.2,satisfied,False,2026-07-05T17:08:41
ST-06,agent_b,1,7,31563,498,32061,6872,5818,12885.0,satisfied,False,2026-07-05T17:08:58
ST-06,agent_c,1,7,30867,593,31460,0,5809,12533.2,satisfied,True,2026-07-05T17:09:14
ST-01,agent_c,2,9,45510,923,46433,0,8747,18249.6,frustrated,True,2026-07-05T17:09:37
ST-01,agent_b,2,8,40327,741,41068,7738,6885,15750.6,frustrated,True,2026-07-05T17:09:58
ST-01,agent_a,2,3,23040,270,23310,0,2228,3449.8,satisfied,False,2026-07-05T17:10:03
ST-02,agent_c,2,9,28624,449,29073,0,6754,12743.7,frustrated,True,2026-07-05T17:10:20
ST-02,agent_b,2,8,34029,534,34563,7705,6316,11539.4,satisfied,True,2026-07-05T17:10:36
ST-02,agent_a,2,7,64464,434,64898,0,5142,8677.8,frustrated,True,2026-07-05T17:10:49
ST-03,agent_c,2,13,80659,1152,81811,0,14096,27859.2,satisfied,True,2026-07-05T17:11:24
ST-03,agent_b,2,8,41734,701,42435,8003,7546,14227.6,satisfied,False,2026-07-05T17:11:43
ST-03,agent_a,2,11,147371,1125,148496,0,11176,17919.0,satisfied,True,2026-07-05T17:12:08
ST-04,agent_c,2,9,41188,690,41878,0,6540,16500.6,frustrated,True,2026-07-05T17:12:29
ST-04,agent_b,2,7,31185,454,31639,6776,5255,11635.9,frustrated,False,2026-07-05T17:12:44
ST-04,agent_a,2,2,35120,323,35443,0,1168,4815.9,satisfied,False,2026-07-05T17:12:50
ST-05,agent_c,2,4,18842,326,19168,0,2564,7868.6,satisfied,True,2026-07-05T17:13:00
ST-05,agent_b,2,9,50505,819,51324,8691,7503,16873.3,satisfied,True,2026-07-05T17:13:21
ST-05,agent_a,2,9,104551,841,105392,0,8904,13192.5,frustrated,False,2026-07-05T17:13:39
ST-06,agent_c,2,9,34990,693,35683,0,8952,14679.2,satisfied,False,2026-07-05T17:13:59
ST-06,agent_b,2,9,40418,567,40985,8729,7474,14078.8,satisfied,False,2026-07-05T17:14:17
ST-06,agent_a,2,9,110377,876,111253,0,9375,13933.8,satisfied,True,2026-07-05T17:14:36
